id,Name,x_coord,y_coord
1,City lodge Hotel OR Tambo,28.230,-26.133
2,Protea Hotel OR Tambo,28.233,-26.126
3,Premier Hotel OR Tambo,28.231,-26.122
4,Shumba Valley Lodge,27.920,-25.958
