id,x_coord,y_coord
"1",28.060,-26.103
"2",28.070,-26.103
"3",28.077,-26.109
"4",28.084,-26.095
"5",28.092,-26.063
"6",28.095,-26.047
"7",28.107,-26.038
"8",28.115,-26.017
"9",28.126,-25.981
"10",28.134,-25.954
"11",28.169,-25.878
"12",28.184,-25.840
"13",28.181,-25.796
"14",28.191,-25.785
"15",28.191,-25.753
"16",28.190,-25.742
