id,Name,x_coord,y_coord
"1",Maude_West,28.055,-26.105
"2",West_Katherine,28.059,-26.109
"3",Katherine_Grayston,28.072,-26.104
"4",Grayston_De Villiers,28.076,-26.107
"5",Ben,28.078,-26.103
"6",Ben2,28.102,-26.043
"7",Ben3,28.167,-25.885
"8",Offramp,28.190,-25.787
"9",Schoeman,28.172,-25.863
"10",Jean Avenue,28.184,-25.839
"11",Eufees,28.189,-25.783
"12",Christina,28.193,-25.781
"13",Christina2,28.199,-25.772
"14",Edmond,28.199,-25.742
